Catégorie : Toutes catégories

Mois,climate change: (Dans tous les pays)
2009-01,35
2009-02,40
2009-03,42
2009-04,41
2009-05,40
2009-06,39
2009-07,36
2009-08,33
2009-09,42
2009-10,58
2009-11,69
2009-12,82
2010-01,47
2010-02,47
2010-03,45
2010-04,39
2010-05,38
2010-06,32
2010-07,25
2010-08,27
2010-09,30
2010-10,34
2010-11,37
2010-12,28
2011-01,29
2011-02,34
2011-03,36
2011-04,30
2011-05,30
2011-06,27
2011-07,22
2011-08,22
2011-09,27
2011-10,30
2011-11,32
2011-12,26
2012-01,23
2012-02,29
2012-03,30
2012-04,27
2012-05,26
2012-06,19
2012-07,20
2012-08,19
2012-09,25
2012-10,29
2012-11,31
2012-12,22
2013-01,23
2013-02,26
2013-03,27
2013-04,29
2013-05,27
2013-06,23
2013-07,19
2013-08,19
2013-09,27
2013-10,28
2013-11,31
2013-12,21
2014-01,25
2014-02,30
2014-03,31
2014-04,32
2014-05,37
2014-06,26
2014-07,20
2014-08,21
2014-09,39
2014-10,30
2014-11,35
2014-12,25
2015-01,27
2015-02,30
2015-03,34
2015-04,34
2015-05,31
2015-06,29
2015-07,24
2015-08,28
2015-09,35
2015-10,35
2015-11,49
2015-12,51
2016-01,35
2016-02,35
2016-03,41
2016-04,40
2016-05,39
2016-06,26
2016-07,23
2016-08,28
2016-09,35
2016-10,39
2016-11,62
2016-12,40
2017-01,47
2017-02,40
2017-03,47
2017-04,45
2017-05,44
2017-06,50
2017-07,27
2017-08,28
2017-09,43
2017-10,36
2017-11,43
2017-12,33
2018-01,35
2018-02,35
2018-03,35
2018-04,37
2018-05,35
2018-06,24
2018-07,24
2018-08,29
2018-09,32
2018-10,50
2018-11,50
2018-12,40
2019-01,40
2019-02,51
2019-03,60
2019-04,65
2019-05,65
2019-06,49
2019-07,40
2019-08,49
2019-09,100
2019-10,74
2019-11,70
2019-12,57
